Annee,Chomage,IPC_Moyenne,Somme_DPAE_Brut,Parti
1949,,5.0505,,
1950,,5.619,,
1951,,6.565916666666666,,
1952,,7.332916666666667,,
1953,,7.256666666666667,,
1954,,7.235166666666667,,
1955,,7.314666666666667,,
1956,,7.4614166666666675,,
1957,,7.675166666666667,,
1958,,8.830166666666667,,
1959,,9.334333333333332,,Droite
1960,,9.7195,,
1961,,9.963833333333334,,
1962,,10.474083333333333,,
1963,,11.106416666666666,,
1964,,11.466833333333334,,
1965,,11.769333333333334,,
1966,,12.077916666666669,,
1967,,12.417083333333332,,
1968,,12.982333333333337,,
1969,,13.761583333333334,,Droite
1970,,14.549916666666666,,
1971,,15.359583333333331,,
1972,,16.2885,,
1973,,17.49233333333333,,
1974,,19.88158333333333,,Droite
1975,,22.20975,,
1976,,24.3425,,
1977,,26.6615,,
1978,,29.124166666666667,,
1979,,32.21941666666667,,Centre
1980,,36.57933333333333,,
1981,,41.44983333333334,,Gauche
1982,,46.415,,
1983,,50.8055,,
1984,,54.70425,,Centre
1985,,57.89408333333333,,
1986,,59.36375,,
1987,,61.31633333333334,,
1988,,62.97208333333333,,
1989,,65.17508333333333,,Droite
1990,,67.42583333333333,,
1991,,69.5925,,
1992,,71.2375,,
1993,,72.73666666666666,,
1994,,73.94083333333333,,Droite
1995,,75.26916666666666,,Droite
1996,,76.76166666666667,,
1997,,77.68583333333333,,
1998,,78.19166666666666,,
1999,,78.61166666666666,,Gauche
2000,,79.92916666666666,7067005.0,
2001,,81.23583333333333,7133205.0,
2002,,82.79833333333333,6757779.0,
2003,,84.53583333333334,6461217.0,
2004,,86.34666666666668,6570409.0,Gauche
2005,,87.85416666666667,6757920.0,
2006,,89.32583333333334,6959041.0,
2007,,90.655,7342443.0,Droite
2008,,93.205,7228687.0,
2009,,93.28666666666668,6483233.0,Droite
2010,,94.715,6973155.0,
2011,,96.715,7506077.0,
2012,,98.605,7079171.0,Gauche
2013,,99.45666666666666,6893412.0,
2014,,99.96166666666666,6883938.0,Droite
2015,,99.99916666666668,7040078.0,
2016,6059236.666666667,100.1825,7526635.0,
2017,6120285.0,101.21666666666664,8047734.0,Centre
2018,6090670.833333333,103.09,8435137.0,
2019,6016334.166666667,104.2325,8677448.0,Droite
2020,6155290.833333333,104.72916666666669,7269936.0,
2021,6130476.666666667,106.44916666666668,9034070.0,
2022,5708230.833333333,112.00833333333333,9935067.0,Centre
2023,5640217.5,117.4725,9713482.0,
2024,5767345.0,118.95666666666666,1457262.0,
