periode,date,ipc
2024-03,2024-03-01,119.47
2024-02,2024-02-01,119.21
2024-01,2024-01-01,118.19
2023-12,2023-12-01,118.39
2023-11,2023-11-01,118.23
2023-10,2023-10-01,118.43
2023-09,2023-09-01,118.26
2023-08,2023-08-01,118.89
2023-07,2023-07-01,117.71
2023-06,2023-06-01,117.65
2023-05,2023-05-01,117.44
2023-04,2023-04-01,117.5
2023-03,2023-03-01,116.79
2023-02,2023-02-01,115.78
2023-01,2023-01-01,114.6
2022-12,2022-12-01,114.16
2022-11,2022-11-01,114.26
2022-10,2022-10-01,113.9
2022-09,2022-09-01,112.74
2022-08,2022-08-01,113.38
2022-07,2022-07-01,112.87
2022-06,2022-06-01,112.55
2022-05,2022-05-01,111.72
2022-04,2022-04-01,110.97
2022-03,2022-03-01,110.49
2022-02,2022-02-01,108.94
2022-01,2022-01-01,108.12
2021-12,2021-12-01,107.85
2021-11,2021-11-01,107.64
2021-10,2021-10-01,107.25
2021-09,2021-09-01,106.81
2021-08,2021-08-01,107.05
2021-07,2021-07-01,106.4
2021-06,2021-06-01,106.34
2021-05,2021-05-01,106.2
2021-04,2021-04-01,105.86
2021-03,2021-03-01,105.75
2021-02,2021-02-01,105.12
2021-01,2021-01-01,105.12
2020-12,2020-12-01,104.96
2020-11,2020-11-01,104.73
2020-10,2020-10-01,104.51
2020-09,2020-09-01,104.55
2020-08,2020-08-01,105.09
2020-07,2020-07-01,105.19
2020-06,2020-06-01,104.79
2020-05,2020-05-01,104.71
2020-04,2020-04-01,104.56
2020-03,2020-03-01,104.59
2020-02,2020-02-01,104.53
2020-01,2020-01-01,104.54
2019-12,2019-12-01,104.98
2019-11,2019-11-01,104.52
2019-10,2019-10-01,104.46
2019-09,2019-09-01,104.5
2019-08,2019-08-01,104.86
2019-07,2019-07-01,104.38
2019-06,2019-06-01,104.58
2019-05,2019-05-01,104.33
2019-04,2019-04-01,104.22
2019-03,2019-03-01,103.89
2019-02,2019-02-01,103.06
2019-01,2019-01-01,103.01
2018-12,2018-12-01,103.47
2018-11,2018-11-01,103.45
2018-10,2018-10-01,103.67
2018-09,2018-09-01,103.56
2018-08,2018-08-01,103.78
2018-07,2018-07-01,103.28
2018-06,2018-06-01,103.37
2018-05,2018-05-01,103.36
2018-04,2018-04-01,102.92
2018-03,2018-03-01,102.75
2018-02,2018-02-01,101.72
2018-01,2018-01-01,101.75
2017-12,2017-12-01,101.85
2017-11,2017-11-01,101.53
2017-10,2017-10-01,101.43
2017-09,2017-09-01,101.33
2017-08,2017-08-01,101.49
2017-07,2017-07-01,100.97
2017-06,2017-06-01,101.32
2017-05,2017-05-01,101.31
2017-04,2017-04-01,101.26
2017-03,2017-03-01,101.17
2017-02,2017-02-01,100.53
2017-01,2017-01-01,100.41
2016-12,2016-12-01,100.65
2016-11,2016-11-01,100.35
2016-10,2016-10-01,100.37
2016-09,2016-09-01,100.34
2016-08,2016-08-01,100.58
2016-07,2016-07-01,100.25
2016-06,2016-06-01,100.63
2016-05,2016-05-01,100.5
2016-04,2016-04-01,100.09
2016-03,2016-03-01,100.02
2016-02,2016-02-01,99.33
2016-01,2016-01-01,99.08
2015-12,2015-12-01,100.04
2015-11,2015-11-01,99.82
2015-10,2015-10-01,100.01
2015-09,2015-09-01,99.95
2015-08,2015-08-01,100.35
2015-07,2015-07-01,100.03
2015-06,2015-06-01,100.44
2015-05,2015-05-01,100.52
2015-04,2015-04-01,100.28
2015-03,2015-03-01,100.17
2015-02,2015-02-01,99.52
2015-01,2015-01-01,98.86
2014-12,2014-12-01,99.86
2014-11,2014-11-01,99.78
2014-10,2014-10-01,99.95
2014-09,2014-09-01,99.92
2014-08,2014-08-01,100.3
2014-07,2014-07-01,99.86
2014-06,2014-06-01,100.18
2014-05,2014-05-01,100.22
2014-04,2014-04-01,100.2
2014-03,2014-03-01,100.24
2014-02,2014-02-01,99.79
2014-01,2014-01-01,99.24
2013-12,2013-12-01,99.8
2013-11,2013-11-01,99.46
2013-10,2013-10-01,99.5
2013-09,2013-09-01,99.63
2013-08,2013-08-01,99.86
2013-07,2013-07-01,99.4
2013-06,2013-06-01,99.7
2013-05,2013-05-01,99.54
2013-04,2013-04-01,99.48
2013-03,2013-03-01,99.63
2013-02,2013-02-01,98.88
2013-01,2013-01-01,98.6
2012-12,2012-12-01,99.1
2012-11,2012-11-01,98.79
2012-10,2012-10-01,98.94
2012-09,2012-09-01,98.76
2012-08,2012-08-01,99
2012-07,2012-07-01,98.35
2012-06,2012-06-01,98.78
2012-05,2012-05-01,98.75
2012-04,2012-04-01,98.8
2012-03,2012-03-01,98.67
2012-02,2012-02-01,97.86
2012-01,2012-01-01,97.46
2011-12,2011-12-01,97.8
2011-11,2011-11-01,97.41
2011-10,2011-10-01,97.14
2011-09,2011-09-01,96.91
2011-08,2011-08-01,96.98
2011-07,2011-07-01,96.48
2011-06,2011-06-01,96.91
2011-05,2011-05-01,96.83
2011-04,2011-04-01,96.78
2011-03,2011-03-01,96.45
2011-02,2011-02-01,95.67
2011-01,2011-01-01,95.22
2010-12,2010-12-01,95.45
2010-11,2010-11-01,95.02
2010-10,2010-10-01,94.91
2010-09,2010-09-01,94.79
2010-08,2010-08-01,94.86
2010-07,2010-07-01,94.64
2010-06,2010-06-01,94.91
2010-05,2010-05-01,94.92
2010-04,2010-04-01,94.81
2010-03,2010-03-01,94.57
2010-02,2010-02-01,94.11
2010-01,2010-01-01,93.59
2009-12,2009-12-01,93.8
2009-11,2009-11-01,93.55
2009-10,2009-10-01,93.42
2009-09,2009-09-01,93.33
2009-08,2009-08-01,93.56
2009-07,2009-07-01,93.08
2009-06,2009-06-01,93.5
2009-05,2009-05-01,93.38
2009-04,2009-04-01,93.24
2009-03,2009-03-01,93.09
2009-02,2009-02-01,92.92
2009-01,2009-01-01,92.57
2008-12,2008-12-01,92.95
2008-11,2008-11-01,93.18
2008-10,2008-10-01,93.62
2008-09,2008-09-01,93.67
2008-08,2008-08-01,93.73
2008-07,2008-07-01,93.76
2008-06,2008-06-01,93.96
2008-05,2008-05-01,93.62
2008-04,2008-04-01,93.12
2008-03,2008-03-01,92.81
2008-02,2008-02-01,92.12
2008-01,2008-01-01,91.92
2007-12,2007-12-01,92.03
2007-11,2007-11-01,91.69
2007-10,2007-10-01,91.19
2007-09,2007-09-01,90.96
2007-08,2007-08-01,90.86
2007-07,2007-07-01,90.49
2007-06,2007-06-01,90.72
2007-05,2007-05-01,90.61
2007-04,2007-04-01,90.39
2007-03,2007-03-01,89.95
2007-02,2007-02-01,89.57
2007-01,2007-01-01,89.4
2006-12,2006-12-01,89.71
2006-11,2006-11-01,89.5
2006-10,2006-10-01,89.4
2006-09,2006-09-01,89.6
2006-08,2006-08-01,89.8
2006-07,2006-07-01,89.5
2006-06,2006-06-01,89.65
2006-05,2006-05-01,89.65
2006-04,2006-04-01,89.27
2006-03,2006-03-01,88.89
2006-02,2006-02-01,88.64
2006-01,2006-01-01,88.3
2005-12,2005-12-01,88.39
2005-11,2005-11-01,88.28
2005-10,2005-10-01,88.46
2005-09,2005-09-01,88.48
2005-08,2005-08-01,88.14
2005-07,2005-07-01,87.8
2005-06,2005-06-01,87.93
2005-05,2005-05-01,87.83
2005-04,2005-04-01,87.77
2005-03,2005-03-01,87.6
2005-02,2005-02-01,87.05
2005-01,2005-01-01,86.52
2004-12,2004-12-01,87
2004-11,2004-11-01,86.9
2004-10,2004-10-01,86.85
2004-09,2004-09-01,86.63
2004-08,2004-08-01,86.55
2004-07,2004-07-01,86.36
2004-06,2004-06-01,86.5
2004-05,2004-05-01,86.47
2004-04,2004-04-01,86.15
2004-03,2004-03-01,85.93
2004-02,2004-02-01,85.59
2004-01,2004-01-01,85.23
2003-12,2003-12-01,85.23
2003-11,2003-11-01,85.14
2003-10,2003-10-01,85.04
2003-09,2003-09-01,84.86
2003-08,2003-08-01,84.54
2003-07,2003-07-01,84.34
2003-06,2003-06-01,84.43
2003-05,2003-05-01,84.27
2003-04,2003-04-01,84.37
2003-03,2003-03-01,84.49
2003-02,2003-02-01,84.15
2003-01,2003-01-01,83.57
2002-12,2002-12-01,83.41
2002-11,2002-11-01,83.27
2002-10,2002-10-01,83.27
2002-09,2002-09-01,83.14
2002-08,2002-08-01,82.99
2002-07,2002-07-01,82.8
2002-06,2002-06-01,82.8
2002-05,2002-05-01,82.81
2002-04,2002-04-01,82.71
2002-03,2002-03-01,82.4
2002-02,2002-02-01,82.04
2002-01,2002-01-01,81.94
2001-12,2001-12-01,81.56
2001-11,2001-11-01,81.46
2001-10,2001-10-01,81.68
2001-09,2001-09-01,81.63
2001-08,2001-08-01,81.48
2001-07,2001-07-01,81.48
2001-06,2001-06-01,81.65
2001-05,2001-05-01,81.6
2001-04,2001-04-01,81.1
2001-03,2001-03-01,80.71
2001-02,2001-02-01,80.35
2001-01,2001-01-01,80.13
2000-12,2000-12-01,80.47
2000-11,2000-11-01,80.51
2000-10,2000-10-01,80.33
2000-09,2000-09-01,80.43
2000-08,2000-08-01,80.02
2000-07,2000-07-01,79.87
2000-06,2000-06-01,80
2000-05,2000-05-01,79.8
2000-04,2000-04-01,79.64
2000-03,2000-03-01,79.64
2000-02,2000-02-01,79.27
2000-01,2000-01-01,79.17
1999-12,1999-12-01,79.17
1999-11,1999-11-01,78.82
1999-10,1999-10-01,78.79
1999-09,1999-09-01,78.74
1999-08,1999-08-01,78.61
1999-07,1999-07-01,78.48
