;
Taux de natalite en France 1982-2022;Taux de natalite en France de 1982 e 2022 (pour 1.000 habitants)
1982;14,80
1983;13,80
1984;14
1985;14,10
1986;14,20
1987;13,90
1988;13,90
1989;13,80
1990;13,60
1991;13,50
1992;13,20
1993;12,60
1994;12,50
1995;12,80
1996;12,80
1997;12,70
1998;12,80
1999;12,90
2000;13,30
2001;13,10
2002;12,90
2003;12,80
2004;12,80
2005;12,80
2006;13,10
2007;12,80
2008;12,90
2009;12,80
2010;12,90
2011;12,70
2012;12,60
2013;12,30
2014;12,40
2015;12
2016;11,80
2017;11,50
2018;11,30
2019;11,20
2020*;10,90
2021*;11
2022*;10,60
