annee;trimestre;dernier_jour_du_mois;duree_de_contrat;nature_de_contrat;dpae_brut;dpae_cvs
2000;1;2000-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;277562;324758
2000;1;2000-01-31;Contrat de plus d'un mois;CDI;278984;227562
2000;1;2000-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;221726;321121
2000;1;2000-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;267342;325130
2000;3;2000-07-31;Contrat de plus d'un mois;CDI;243235;282456
2000;3;2000-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;203939;326290
2000;3;2000-09-30;Contrat de plus d'un mois;CDI;361742;265421
2000;4;2000-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;340093;316572
2001;1;2001-02-28;Contrat de plus d'un mois;CDI;282820;300839
2001;2;2001-04-30;Contrat de plus d'un mois;CDI;289936;290494
2001;2;2001-06-30;Contrat de plus d'un mois;CDI;258495;292048
2001;3;2001-07-31;Contrat de plus d'un mois;CDI;256158;287480
2001;3;2001-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;409249;291792
2001;3;2001-09-30;Contrat de plus d'un mois;CDI;373826;275159
2001;4;2001-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;331082;305568
2001;4;2001-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;210186;314543
2002;1;2002-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;189810;294855
2002;1;2002-02-28;Contrat de plus d'un mois;CDI;264754;282712
2002;2;2002-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;249729;300547
2002;3;2002-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;425534;290341
2002;4;2002-10-31;Contrat de plus d'un mois;CDI;332798;261398
2002;4;2002-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;232970;289117
2002;4;2002-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;190289;271826
2003;1;2003-01-31;Contrat de plus d'un mois;CDI;303922;248278
2003;1;2003-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;232031;283221
2003;2;2003-04-30;Contrat de plus d'un mois;CDI;247654;245153
2003;2;2003-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;235288;276040
2003;4;2003-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;207823;288310
2004;2;2004-06-30;Contrat de plus d'un mois;CDI;228341;243270
2004;3;2004-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;560826;301329
2005;1;2005-02-28;Contrat de plus d'un mois;CDI;227829;248772
2005;1;2005-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;248005;309621
2005;2;2005-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;400411;309273
2005;2;2005-06-30;Contrat de plus d'un mois;CDI;225530;243626
2005;3;2005-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;459643;308152
2005;3;2005-09-30;Contrat de plus d'un mois;CDI;359721;254914
2005;4;2005-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;312755;300481
2005;4;2005-11-30;Contrat de plus d'un mois;CDI;264569;265658
2005;4;2005-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;212132;314300
2006;1;2006-03-31;Contrat de plus d'un mois;CDI;270773;274059
2006;2;2006-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;265134;307648
2006;2;2006-05-31;Contrat de plus d'un mois;CDI;256382;286197
2006;3;2006-07-31;Contrat de plus d'un mois;CDI;236464;267275
2006;3;2006-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;480013;317690
2006;4;2006-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;214381;321853
2007;2;2007-04-30;Contrat de plus d'un mois;CDI;283503;285920
2007;2;2007-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;396114;318738
2007;3;2007-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;628160;321986
2007;3;2007-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;219232;332185
2007;3;2007-09-30;Contrat de plus d'un mois;CDI;413906;292006
2007;4;2007-11-30;Contrat de plus d'un mois;CDI;282052;286281
2008;1;2008-02-29;Contrat de plus d'un mois;CDI;262767;293685
2008;1;2008-03-31;Contrat de plus d'un mois;CDI;278900;293866
2008;2;2008-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;277869;301030
2008;2;2008-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;262253;317812
